OI,Chng in OI,Volume,IV,LTP,Net Chng,BidQty,BidPrice,AskPrice,AskQty,Strike Price,BidQty,BidPrice,AskPrice,AskQty,Net Chng,LTP,IV,Volume,Chng in OI,OI
"2,569,425","276,225","207,784",12.30,121.50,22.85,75,120.85,121.60,75,11400.00,150,112.20,113.35,75,-51.05,113.95,13.29,"109,373","-24,150","4,140,750"
"266,550","105,675","15,024",11.92,94.00,15.45,600,92.80,93.60,75,11450.00,750,132.85,135.85,225,-54.75,136.85,12.98,"3,341","19,275","314,625"
"3,389,475","-149,325","194,222",11.98,74.00,11.85,150,73.00,74.00,"1,500",11500.00,150,161.00,164.90,300,-63.25,162.00,12.55,"45,110","-400,350","3,337,125"
"244,800","-23,025","11,150",11.91,56.25,8.80,375,55.00,55.90,75,11550.00,225,188.05,195.90,75,-62.65,197.50,12.93,926,"-7,950","51,450"
"3,642,450","-399,375","177,427",11.87,42.00,5.35,75,42.00,42.45,"1,200",11600.00,750,228.20,233.75,75,-66.00,232.00,12.86,"25,561","-339,900","2,450,700"
"313,050","-99,450","8,513",11.78,30.35,2.10,75,30.20,31.50,75,11650.00,225,260.80,270.95,150,-75.50,262.70,11.79,335,"-4,650","75,600"
"3,147,525","9,675","117,027",11.93,22.60,0.45,75,21.80,22.00,300,11700.00,150,305.00,309.00,"3,000",-76.05,304.95,11.97,"6,991","-65,100","1,912,500"
"306,375","-22,725","6,093",12.04,16.50,-1.35,225,16.55,17.50,150,11750.00,150,344.70,358.05,375,-82.00,342.00,10.52,64,-825,"44,325"
"4,388,400","-160,800","74,190",12.35,12.65,-1.05,75,12.30,12.70,750,11800.00,75,395.25,400.40,75,-74.85,396.60,12.90,"1,409","-12,375","623,925"
"255,375","3,600","3,177",12.74,10.00,-1.25,150,9.00,10.00,300,11850.00,225,438.00,452.55,225,23.05,548.05,30.02,28,"-1,575","3,225"
"2,268,150","10,575","35,215",12.92,7.35,-1.45,"1,350",7.35,8.00,900,11900.00,75,485.45,493.35,75,-85.00,482.00,8.80,200,225,"118,725"
"165,450","5,625","1,467",13.40,6.05,-1.45,75,6.00,6.30,525,11950.00,75,528.70,545.20,75,121.40,523.80,-,5,-300,825
"3,111,600","-41,700","26,461",14.01,5.30,-1.10,900,5.00,5.60,150,12000.00,75,581.45,588.10,75,-78.75,583.20,12.17,485,"-9,600","686,925"
"73,500","-3,075",423,14.31,4.15,-1.55,525,4.10,6.10,"4,875",12050.00,"1,125",617.10,649.30,375,-,-,-,-,-,-
"1,242,600","14,025","15,601",15.27,4.25,-1.00,375,4.25,4.85,150,12100.00,150,678.65,688.80,75,-76.15,688.50,17.17,61,"-2,400","21,300"
"40,350",825,542,16.23,4.35,-0.65,75,3.55,7.00,"2,700",12150.00,750,714.00,754.10,600,-,631.20,-,-,-,225
"1,572,075","104,325","17,418",17.07,4.30,-0.50,600,4.25,4.30,"2,625",12200.00,75,778.55,787.00,75,-80.35,777.10,-,58,"2,100","54,600"
"32,550","1,350",169,17.62,3.85,-1.75,"3,000",2.60,5.60,300,12250.00,75,813.95,854.15,75,-,-,-,-,-,-
"1,252,050","-95,175","5,315",18.35,3.70,-0.65,975,3.65,3.70,"1,950",12300.00,150,878.45,886.35,75,-,965.30,-,-,-,"46,350"
"1,350",-75,10,17.66,2.10,-1.60,"3,000",1.60,-,-,12350.00,750,640.70,-,-,-,-,-,-,-,-
"681,750","1,725","2,202",19.89,3.55,-0.85,"2,100",2.65,3.70,"1,500",12400.00,375,967.60,991.40,75,-,"1,024.55",-,-,-,"6,675"
225,-,-,-,4.00,-,"3,000",1.60,-,-,12450.00,-,-,-,-,-,-,-,-,-,-
